,cycle_id,harvested_at,weight,size,total_harvest(kg),total_seed,survival_rate(%),average_weight(gr),est_remaining_population,biomass(kg),avg_pond_length,avg_pond_width,avg_pond_depth,long_cycle(day),total_feed(kg),avg_tray_number,avg_feed_remain%,count_fasting,total_mortal,avg_weight_mortal,avg_weight_sample
62,4233,2020-06-27,500.0,160.0,80000.0,400000,63.75,6.25,145000.0,906.25,40.41,30.31,1.5,59,2705.0,0.0,0.0,1.0,0.0,0.0,4.55
63,4238,2020-08-08,509.73,33.0,16821.09,223488,7.53,30.303030303030305,206666.91,6262.6336363636365,20.46,15.35,120.0,105,1520.0,0.0,0.0,1.0,0.0,0.0,17.96090909090909
64,4239,2020-08-08,1433.03,41.0,58754.229999999996,223488,26.29,24.390243902439025,164733.77000000002,4017.896829268293,20.46,15.35,120.0,105,3305.0,0.0,0.0,0.0,0.0,0.0,14.93909090909091
65,4241,2020-08-08,1147.79,37.0,42468.229999999996,213316,19.91,27.027027027027028,170847.77000000002,4617.507297297298,20.46,15.35,120.0,105,2870.0,0.0,0.0,0.0,0.0,0.0,15.935454545454546
66,4253,2020-06-02,400.0,330.0,132000.0,168750,78.22,3.0303030303030303,36750.0,111.36363636363637,36.51,27.39,150.0,31,345.0,0.0,0.0,1.0,0.0,0.0,2.0
67,4254,2020-06-01,603.0,500.0,301500.0,300000,100.5,2.0,-1500.0,-3.0,0.0,0.0,0.0,30,597.0,0.0,0.0,1.0,0.0,0.0,0.0
68,4309,2020-06-21,570.0,115.0,65550.0,170000,38.56,8.695652173913043,104450.0,908.2608695652173,28.28,21.21,1.7,84,3207.3,0.0,0.0,1.0,0.0,0.0,17.566666666666666
69,4309,2020-07-28,1700.0,37.0,62900.0,170000,75.56,27.027027027027028,41550.0,1122.972972972973,28.28,21.21,1.7,84,3207.3,0.0,0.0,1.0,0.0,0.0,17.566666666666666
70,4349,2020-07-03,560.0,200.0,112000.0,80000,140.0,5.0,-32000.0,-160.0,20.0,20.0,1.5,54,816.5,0.0,0.0,0.0,0.0,0.0,0.0
71,4442,2020-07-12,1445.0,57.0,82365.0,98544,83.58,17.54385964912281,16179.0,283.8421052631579,50.0,40.0,0.8,99,2456.6,0.0,0.0,5.0,0.0,0.0,11.950000000000001
72,4446,2020-07-16,1118.5,68.0,76058.0,100000,76.06,14.705882352941176,23942.0,352.0882352941176,51.64,38.73,0.0,103,2236.7,0.0,0.0,5.0,0.0,0.0,8.514
73,4489,2020-06-26,200.0,300.0,60000.0,90000,66.67,3.3333333333333335,30000.0,100.0,44.72,33.54,1.5,37,392.5,0.0,0.0,0.0,0.0,0.0,0.0
74,4491,2020-06-24,130.0,400.0,52000.0,90000,57.78,2.5,38000.0,95.0,25.0,24.0,1.3,35,363.4,0.0,0.0,2.0,0.0,0.0,2.5
75,4514,2020-07-10,250.0,204.0,51000.0,108000,47.22,4.901960784313726,57000.0,279.4117647058824,29.3,21.98,1.5,52,467.0,0.0,0.0,1.0,0.0,0.0,5.375
76,4514,2020-07-20,350.0,160.0,56000.0,108000,99.07,6.25,1000.0,6.25,29.3,21.98,1.5,52,467.0,0.0,0.0,1.0,0.0,0.0,5.375
77,4515,2020-07-12,190.0,200.0,38000.0,180000,21.11,5.0,142000.0,710.0,49.0,27.0,1.3,50,683.9,0.0,0.0,1.0,0.0,0.0,4.5
78,4515,2020-07-18,575.0,200.0,115000.0,180000,85.0,5.0,27000.0,135.0,49.0,27.0,1.3,50,683.9,0.0,0.0,1.0,0.0,0.0,4.5
